"optionsLeft","optionsRight","infoPrice","angles"
"+12","-9","0.05","0"
"+12","-9","0.05","30"
"+12","-9","0.05","60"
"+12","-9","0.05","120"
"+12","-9","0.05","150"
"+12","-9","0.05","180"
"+12","-9","1","0"
"+12","-9","1","30"
"+12","-9","1","60"
"+12","-9","1","120"
"+12","-9","1","150"
"+12","-9","1","180"
"+12","-9","2","0"
"+12","-9","2","30"
"+12","-9","2","60"
"+12","-9","2","120"
"+12","-9","2","150"
"+12","-9","2","180"
"+12","-9","3","0"
"+12","-9","3","30"
"+12","-9","3","60"
"+12","-9","3","120"
"+12","-9","3","150"
"+12","-9","3","180"
"+12","-9","9","0"
"+12","-9","9","30"
"+12","-9","9","60"
"+12","-9","9","120"
"+12","-9","9","150"
"+12","-9","9","180"
"+9","-12","0.05","0"
"+9","-12","0.05","30"
"+9","-12","0.05","60"
"+9","-12","0.05","120"
"+9","-12","0.05","150"
"+9","-12","0.05","180"
"+9","-12","1","0"
"+9","-12","1","30"
"+9","-12","1","60"
"+9","-12","1","120"
"+9","-12","1","150"
"+9","-12","1","180"
"+9","-12","2","0"
"+9","-12","2","30"
"+9","-12","2","60"
"+9","-12","2","120"
"+9","-12","2","150"
"+9","-12","2","180"
"+9","-12","3","0"
"+9","-12","3","30"
"+9","-12","3","60"
"+9","-12","3","120"
"+9","-12","3","150"
"+9","-12","3","180"
"+9","-12","9","0"
"+9","-12","9","30"
"+9","-12","9","60"
"+9","-12","9","120"
"+9","-12","9","150"
"+9","-12","9","180"
"+9","-9","0.05","0"
"+9","-9","0.05","30"
"+9","-9","0.05","60"
"+9","-9","0.05","120"
"+9","-9","0.05","150"
"+9","-9","0.05","180"
"+9","-9","1","0"
"+9","-9","1","30"
"+9","-9","1","60"
"+9","-9","1","120"
"+9","-9","1","150"
"+9","-9","1","180"
"+9","-9","2","0"
"+9","-9","2","30"
"+9","-9","2","60"
"+9","-9","2","120"
"+9","-9","2","150"
"+9","-9","2","180"
"+9","-9","3","0"
"+9","-9","3","30"
"+9","-9","3","60"
"+9","-9","3","120"
"+9","-9","3","150"
"+9","-9","3","180"
"+9","-9","9","0"
"+9","-9","9","30"
"+9","-9","9","60"
"+9","-9","9","120"
"+9","-9","9","150"
"+9","-9","9","180"
"+12","-6","0.05","0"
"+12","-6","0.05","30"
"+12","-6","0.05","60"
"+12","-6","0.05","120"
"+12","-6","0.05","150"
"+12","-6","0.05","180"
"+12","-6","1","0"
"+12","-6","1","30"
"+12","-6","1","60"
"+12","-6","1","120"
"+12","-6","1","150"
"+12","-6","1","180"
"+12","-6","2","0"
"+12","-6","2","30"
"+12","-6","2","60"
"+12","-6","2","120"
"+12","-6","2","150"
"+12","-6","2","180"
"+12","-6","3","0"
"+12","-6","3","30"
"+12","-6","3","60"
"+12","-6","3","120"
"+12","-6","3","150"
"+12","-6","3","180"
"+12","-6","9","0"
"+12","-6","9","30"
"+12","-6","9","60"
"+12","-6","9","120"
"+12","-6","9","150"
"+12","-6","9","180"
"+6","-12","0.05","0"
"+6","-12","0.05","30"
"+6","-12","0.05","60"
"+6","-12","0.05","120"
"+6","-12","0.05","150"
"+6","-12","0.05","180"
"+6","-12","1","0"
"+6","-12","1","30"
"+6","-12","1","60"
"+6","-12","1","120"
"+6","-12","1","150"
"+6","-12","1","180"
"+6","-12","2","0"
"+6","-12","2","30"
"+6","-12","2","60"
"+6","-12","2","120"
"+6","-12","2","150"
"+6","-12","2","180"
"+6","-12","3","0"
"+6","-12","3","30"
"+6","-12","3","60"
"+6","-12","3","120"
"+6","-12","3","150"
"+6","-12","3","180"
"+6","-12","9","0"
"+6","-12","9","30"
"+6","-12","9","60"
"+6","-12","9","120"
"+6","-12","9","150"
"+6","-12","9","180"
"+9","-6","0.05","0"
"+9","-6","0.05","30"
"+9","-6","0.05","60"
"+9","-6","0.05","120"
"+9","-6","0.05","150"
"+9","-6","0.05","180"
"+9","-6","1","0"
"+9","-6","1","30"
"+9","-6","1","60"
"+9","-6","1","120"
"+9","-6","1","150"
"+9","-6","1","180"
"+9","-6","2","0"
"+9","-6","2","30"
"+9","-6","2","60"
"+9","-6","2","120"
"+9","-6","2","150"
"+9","-6","2","180"
"+9","-6","3","0"
"+9","-6","3","30"
"+9","-6","3","60"
"+9","-6","3","120"
"+9","-6","3","150"
"+9","-6","3","180"
"+9","-6","9","0"
"+9","-6","9","30"
"+9","-6","9","60"
"+9","-6","9","120"
"+9","-6","9","150"
"+9","-6","9","180"
"+6","-9","0.05","0"
"+6","-9","0.05","30"
"+6","-9","0.05","60"
"+6","-9","0.05","120"
"+6","-9","0.05","150"
"+6","-9","0.05","180"
"+6","-9","1","0"
"+6","-9","1","30"
"+6","-9","1","60"
"+6","-9","1","120"
"+6","-9","1","150"
"+6","-9","1","180"
"+6","-9","2","0"
"+6","-9","2","30"
"+6","-9","2","60"
"+6","-9","2","120"
"+6","-9","2","150"
"+6","-9","2","180"
"+6","-9","3","0"
"+6","-9","3","30"
"+6","-9","3","60"
"+6","-9","3","120"
"+6","-9","3","150"
"+6","-9","3","180"
"+6","-9","9","0"
"+6","-9","9","30"
"+6","-9","9","60"
"+6","-9","9","120"
"+6","-9","9","150"
"+6","-9","9","180"
"+3","-3","0.05","0"
"+3","-3","0.05","30"
"+3","-3","0.05","60"
"+3","-3","0.05","120"
"+3","-3","0.05","150"
"+3","-3","0.05","180"
"+3","-3","1","0"
"+3","-3","1","30"
"+3","-3","1","60"
"+3","-3","1","120"
"+3","-3","1","150"
"+3","-3","1","180"
"+3","-3","2","0"
"+3","-3","2","30"
"+3","-3","2","60"
"+3","-3","2","120"
"+3","-3","2","150"
"+3","-3","2","180"
"+3","-3","3","0"
"+3","-3","3","30"
"+3","-3","3","60"
"+3","-3","3","120"
"+3","-3","3","150"
"+3","-3","3","180"
"+3","-3","9","0"
"+3","-3","9","30"
"+3","-3","9","60"
"+3","-3","9","120"
"+3","-3","9","150"
"+3","-3","9","180"
"+12","-3","0.05","0"
"+12","-3","0.05","30"
"+12","-3","0.05","60"
"+12","-3","0.05","120"
"+12","-3","0.05","150"
"+12","-3","0.05","180"
"+12","-3","1","0"
"+12","-3","1","30"
"+12","-3","1","60"
"+12","-3","1","120"
"+12","-3","1","150"
"+12","-3","1","180"
"+12","-3","2","0"
"+12","-3","2","30"
"+12","-3","2","60"
"+12","-3","2","120"
"+12","-3","2","150"
"+12","-3","2","180"
"+12","-3","3","0"
"+12","-3","3","30"
"+12","-3","3","60"
"+12","-3","3","120"
"+12","-3","3","150"
"+12","-3","3","180"
"+12","-3","9","0"
"+12","-3","9","30"
"+12","-3","9","60"
"+12","-3","9","120"
"+12","-3","9","150"
"+12","-3","9","180"
"+3","-12","0.05","0"
"+3","-12","0.05","30"
"+3","-12","0.05","60"
"+3","-12","0.05","120"
"+3","-12","0.05","150"
"+3","-12","0.05","180"
"+3","-12","1","0"
"+3","-12","1","30"
"+3","-12","1","60"
"+3","-12","1","120"
"+3","-12","1","150"
"+3","-12","1","180"
"+3","-12","2","0"
"+3","-12","2","30"
"+3","-12","2","60"
"+3","-12","2","120"
"+3","-12","2","150"
"+3","-12","2","180"
"+3","-12","3","0"
"+3","-12","3","30"
"+3","-12","3","60"
"+3","-12","3","120"
"+3","-12","3","150"
"+3","-12","3","180"
"+3","-12","9","0"
"+3","-12","9","30"
"+3","-12","9","60"
"+3","-12","9","120"
"+3","-12","9","150"
"+3","-12","9","180"
